"pid3","lr1","hs1","weight"
"Democrat","M","Hard",2.01599443138697
"Republican","R","Hard",0.760915198379975
"Democrat","R","Soft",0.803133244467788
"Democrat","R","Hard",1.64892211171502
"Independent","L","Hard",1.73094162842714
"Independent","L","Soft",1.30276609632897
"Republican","L","Hard",1.09844101349769
"Democrat","L","Hard",1.01100250942223
"Democrat","R","Soft",0.687550661511841
"Republican","R","Hard",0.760915198379975
"Democrat","M","Hard",2.01599443138697
"Republican","M","Soft",0.667152939722186
"Independent","L","Soft",1.880663069957
"Democrat","M","Hard",0.9135255093121
"Independent","M","Hard",0.667152939722186
"Democrat","L","Hard",1.3965254245261
"Democrat","L","Hard",0.667152939722186
"Republican","L","Soft",0.667152939722186
"Republican","R","Hard",0.96308780903132
"Democrat","M","Hard",0.839335396975683
"Democrat","L","Soft",0.687550661511841
"Democrat","L","Hard",1.05131070462811
"Independent","L","Hard",1.30276609632897
"Democrat","L","Hard",1.04662878320849
"Independent","R","Soft",0.72502368212688
"Independent","M","Soft",0.667152939722186
"Independent","M","Hard",0.760915198379975
"Democrat","L","Hard",0.772340395644099
"Independent","L","Hard",0.772340395644099
"Democrat","L","Hard",0.772340395644099
"Independent","M","Hard",0.96308780903132
"Independent","M","Hard",0.826919145624216
"Democrat","L","Hard",1.19372290937804
"Republican","L","Soft",1.64892211171502
"Independent","R","Hard",0.839335396975683
"Democrat","L","Hard",0.687550661511841
"Republican","M","Hard",1.27962247803388
"Republican","L","Soft",0.772340395644099
"Democrat","R","Hard",1.02618278592251
"Democrat","M","Hard",0.9135255093121
"Republican","M","Soft",0.760915198379975
"Democrat","L","Soft",0.772340395644099
"Republican","M","Hard",1.19372290937804
"Independent","M","Hard",1.32233960829512
"Republican","R","Hard",0.772340395644099
"Democrat","M","Soft",0.72502368212688
"Republican","R","Hard",0.760915198379975
"Independent","R","Hard",0.72502368212688
"Independent","M","Soft",1.27962247803388
"Independent","L","Soft",1.19372290937804
"Democrat","M","Hard",1.19879169757061
"Republican","R","Hard",1.19879169757061
"Independent","L","Soft",1.19372290937804
"Independent","M","Hard",0.667152939722186
"Independent","L","Soft",0.839335396975683
"Independent","L","Hard",0.826919145624216
